Genus	GQ	Species	SQ	Subspecies	Author	HigherTaxon	Comment	onButton	abbreviation
Syscioscenium	?	wabisabi	 	 	 	Nasselaria		n	Sys wab
Neosemantis	 	bjoerklundi	 	mimicus	 	Nasselaria		n	Neo bjo
Neosemantis		hofferti				Nasselaria		n	Neo hof
Neosemantis	 	distephanus	 	 	 	Nasselaria		y	Neo dis
Octopyle	 	stenozona	 	 	 	Spumellaria		y	Oct ste
Orodapis	?	spB	 	 	 	Collo/Entact/Phaeo		n	Oro spB
Orodapis	 	hericina		 	 	Collo/Entact/Phaeo		y	Oro her
Oroscena	 	carolae	 	 	 	Collo/Entact/Phaeo		n	Oro car
Pentactinosphaera	 	hokurikuensis	 	 	 	Spumellaria		n	Pen hok
Pentapylonium	 	implicatum	 	 	 	Spumellaria		n	Pen imp
Periarachnium	 	periplectum	 	 	 	Nasselaria		n	Per per
Perichlamydium	 	praetextum	 	 	 	Spumellaria		y	Per pra
Peridium	 	longispinum	 	 	 	Nasselaria		y	Per lon
Peridium	?	spL	 	 	 	Nasselaria		n	Per spL
Periphaena	 	decora	 	 	 	Spumellaria		n	Per dec
Peripyramis	 	circumtexta	 	 	 	Nasselaria		n	Per cir
Phaeodarian	 	spA	 	 	 	Collo/Entact/Phaeo		n	Pha spA
Phaeodarian		spB				Collo/Entact/Phaeo		n	Pha spB
Phormacantha	 	hystrix	 	 	 	Nasselaria		n	Pho hys
Phormospyris	 	scaphipes	 	 	 	Nasselaria		n	Pho sca
Phormospyris	 	tricostata	 	 	 	Nasselaria		n	Pho tri
Phormostichoartus	 	corbula	 	 	 	Nasselaria		n	Pho cor
Phormostichoartus	 	fistula	 	 	 	Nasselaria		n	Pho fis
Phormostichoartus	 	furcaspiculata	 	 	 	Nasselaria		n	Pho fur
Phormostichoartus	 	marylandicus	 	 	 	Nasselaria		n	Pho mar
Phormostichoartus	 	pitomorphus	 	 	 	Nasselaria		n	Pho pit
Phormostichoartus	 	spG	 	 	 	Nasselaria		n	Pho spG
Phorticium	 	clevei	 	 	 	Spumellaria		y	Pho cle
Plagiacantha	 	panarium	 	 	 	Nasselaria		n	Pla pan
Plagoniid	 	groupX	 	 	 	Nasselaria		n	Pla gro
Plagoniid	 	sp14	 	 	 	Nasselaria		n	Pla sp1
Plagoniid	 	sp19	 	 	 	Nasselaria		n	Pla sp1
Botryopera	?	gibbera	 	 	 	Nasselaria		n	Bot gib
Lithomelissa	 	vespa	 	 	 	Nasselaria		n	Lit ves
Plagoniid	?	sp23				Nasselaria		n	Pla sp23
Plagoniid	 	sp2	 	 	 	Nasselaria		n	Pla sp2
Plagoniid	 	sp3	 	 	 	Nasselaria		n	Pla sp3
Plagoniid	 	sp4	 	 	 	Nasselaria		y	Pla sp4
Plagoniid	 	sp7	 	 	 	Nasselaria		n	Pla sp7
Plagoniid		sp8				Nasselaria		n	Pla sp8
Plagoniid		sp25				Nasselaria		n	Pla sp25
Plagoniid	?	spB	 	 	 	Nasselaria		n	Pla spB
Plagoniid	?	spC	 	 	 	Nasselaria		n	Pla spC
Plagoniid	 	spP	 	 	 	Nasselaria		n	Pla spP
Plagoniid	 	spQ	 	 	 	Nasselaria		n	Pla spQ
Lophophaena	?	spR	 	 	 	Nasselaria		n	Pla spR
Plagoniid	 	spW	 	 	 	Nasselaria		n	Pla spW
Plagoniid	 	spZ	 	 	 	Nasselaria		n	Pla spZ
Plannapus	 	papillosus	 	 	 	Nasselaria		y	Pla pap
Plannapus	 	hornibrooki	 	 	 	Nasselaria		y	Pla hor
Plannapus	 	mauricei	 	 	 	Nasselaria		y	Pla mau
Plannapus	 	microcephalus	 	 	 	Nasselaria		n	Pla mic
Plannapus	?	uburex	 	 	 	Nasselaria		n	Pla ubu
Plectacantha	 	cresmatoplegma	 	 	 	Nasselaria		n	Ple cre
Plectacantha	 	oikiskos	 	 	 	Nasselaria		n	Ple oik
Plectagonidium	 	deflandrei	 	 	 	Nasselaria		n	Ple def
Plectopyramis	 	dodecumma	 	 	 	Nasselaria		y	Ple dod
Plegmosphaera		lepticali	?			Spumellaria		n	Ple lep
Porospathis	 	holostoma	 	 	 	Collo/Entact/Phaeo		n	Por hol
Protocystis	 	micropelecus	 	 	 	Collo/Entact/Phaeo		n	Pro mic
Protocystis	 	tritonis	 	 	 	Collo/Entact/Phaeo		n	Pro tri
Protoscenium	 	simplex	 	 	 	Nasselaria		n	Pro sim
Protoscenium	?	sp18	 	 	 	Nasselaria		n	Pro sp1
Prunoid	?	spD	 	 	 	Spumellaria		y	Pru spD
Prunoid	 	spG	 	 	 	Spumellaria		n	Pru spG
Pseudocubus	 	obeliscus	 	 	 	Nasselaria		y	Pse obe
Pseudocubus	 	warreni	 	 	 	Nasselaria		n	Pse war
Pseudodictyophimus	 	gracillipes	 	 	 	Nasselaria		y	Pse gra
Pseudodictyophimus	 	platycephalus	 	 	 	Nasselaria		n	Pse pla
Pseudodictyophimus	 	spY	 	 	 	Nasselaria		n	Pse spY
Pseudodictyophimus	 	tanythorax	 	 	 	Nasselaria		y	Pse tan
Pterocanium	 	charybdeum	 	trilobum	 	Nasselaria		n	P c tri
Pterocanium	 	korotnevi	 	 	 	Nasselaria		n	Pte kor
Pterocanium	 	praetextum	 	eucolpium	 	Nasselaria		n	Pte pra
Pterocanium	 	praetextum	 	praetextum	 	Nasselaria		n	Pte pra
Pterocorys	 	clausus	 	 	 	Nasselaria		n	Pte cla
Pteroscenium	 	pinnatum	 	 	 	Nasselaria		n	Pte pin
Rhizoplegma		boreale				Spumellaria		n	Rhi bor
Rhizosphaera	 	antarctica	 	 	 	Spumellaria		y	Rhi ant
